tt,BrandLocale,AV-US,AV-CA,BB-US,BB-CA,BK-US,BU-CA,BU-US,CL-US,DA-CA,DA-US,EL-US,EL-CA,JM-US,JM-CA,LM-US,LM-CA,MC-US,MC-CA,SB-CA,SB-US,OR-US,OR-CA,LS-US,FM-US,GG-US,TF-US,DJ-US,CL-CA,TFB-US
1,CHECKOUTCONFIRMURL,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl
1,CREDITCARDNUMBER,5555 5555 5555 4444,5555 5555 5555 4444,5555 5555 5555 4444,5555 5555 5555 4444,5555 5555 5555 4444,5555 5555 5555 4444,5555 5555 5555 4444,5555 5555 5555 4444,5555 5555 5555 4444,5555 5555 5555 4444,5555 5555 5555 4444,5555 5555 5555 4444,5555 5555 5555 4444,5555 5555 5555 4444,5555 5555 5555 4444,5555 5555 5555 4444,5555 5555 5555 4444,5555 5555 5555 4444,4111 1111 1111 1111,5555 5555 5555 4444,5555 5555 5555 4444,5555 5555 5555 4444,5555 5555 5555 4444,5555 5555 5555 4444,5555 5555 5555 4444,5555 5555 5555 4444,5555 5555 5555 4444,5555 5555 5555 4444,5555 5555 5555 4444
1,CCMONTH,,,2,2,,,,,,,January,January,3,3,3,3,,,2,2,3,3,3,,,,,2,
1,MONTHYEAR,330,330,1030,1030,330,330,330,330,330,330,330,1030,330,1030,330,1030,330,330,330,1030,330,1030,1030,330,330,330,330,1030,330
1,CARDHOLDERNAME,VISA,VISA,,,VISA,VISA,VISA,VISA,VISA,VISA,VISA,,VISA,,VISA,VISA,VISA,VISA,,,VISA,,,VISA,VISA,VISA,VISA,VISA,VISA
1,TRANSLATEMESSAGE,,,,,,,,,,,,,,MAGASINER,,,,,,,,,,,,,,,
1,translateHomePageShopNow,,MAGASINER,,,,,,,,,,Connexion,,,,,,TOUTES LES NUANCES,,,,,,,,,,Acheter intelligemment,
1,translateHomePageAddToBag,,Dans le panier,,,,,,,,,,AUDIRE ADORER,,,,,,Nous envoyer un message,,,,,,,,,,Acheter smart spf,
1,translateHomePageFooter,,CLAVARDAGE EN DIRECT,,,,,,,,,,OFFRES,,,,,,Offres spéciales,,,,,,,,,,Magasinage,
1,translatePlpFilterLabel,,Filtrer par :,,,,,,,,,,Connexion,,,,,,Ajouter,,,,,,,,,,Filtre,
1,translatePlpDropDownLabel,,Filtrer par :,,,,,,,,,,OFFRES,,,,,,Nous envoyer un message,,,,,,,,,,15 Produits,
1,translatePdpPageAddToBag,,Dans le panier,,,,,,,,,,Ajouter au panier,,,,,,Ajouter au panier,,,,,,,,,,Ajouter au panier,
1,translatePdpQuanityLabel,,Quantité,,,,,,,,,,Détails sur le produit,,,,,,"Une palette pour les yeux en édition limitée, remplie de six teintes chaudes et dotée d’un emballage rouge envoûtant.",,,,,,,,,,Lire les commentaires,
1,translatePdpCartLink,,caisse,,,,,,,,,,Caisse,,,,,,Caisse,,,,,,,,,,Régler mes achats,
1,translateViewCartText1,,une fois seulement,,,,,,,,,,Panier,,,,,,Sac d'achats (1),,,,,,,,,,Panier,
1,translateViewCartText2,,RÉCOMPENSES AVEDA PLUS,,,,,,,,,,Livraison gratuite avec toute commande.,,,,,,Options de cadeau,,,,,,,,,,Total approximatif,
1,translateViewCartText3,,Résumé de la commande,,,,,,,,,,Sommaire de la commande,,,,,,Total estimé,,,,,,,,,,Notre garantie,
1,translateViewCartContinue,,Passer à la caisse,,,,,,,,,,Caisse,,,,,,Caisse,,,,,,,,,,Régler mes achats,
1,translateCheckoutNewUser,,Payer en tant qu’invité,,,,,,,,,,PASSER À LA CAISSE,,,,,,Passer à la caisse comme invité,,,,,,,,,,Passer à la caisse en tant qu'invité,
1,translateCheckoutReturnUUser,,Connexion,,,,,,,,,,Connexion,,,,,,Connexion,,,,,,,,,,OUVRIR UNE SESSION,
1,translateCheckoutContinue,,Passer à la caisse,,,,,,,,,,Connectez-vous à votre compte,,,,,,Passer à la caisse,,,,,,,,,,Poursuivre mes achats,
1,translateShippingText1,,OPTIONS DE LIVRAISON,,,,,,,,,,1. Livraison,,,,,,OPTIONS DE LIVRAISON,,,,,,,,,,Adresse de livraison,
1,translateShippingText2,,Adresse de livraison,,,,,,,,,,Adresse de livraison,,,,,,Adresse de livraison,,,,,,,,,,Méthode de livraison,
1,translateShippingText3,,Méthode de livraison,,,,,,,,,,Continuer,,,,,,Continuer,,,,,,,,,,Aperçu de la commande,
1,translatePayment,,2. Paiement,,,,,,,,,,Carte de crédit,,,,,,Carte de crédit ,,,,,,,,,,Carte de crédit,
1,newUserPassword,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,
1,MONTH,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
1,DATE,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
1,ACRID1,elcqana+001@test.com,,,,,elcqana+001@test.com,elcqana+001@test.com,,,,,,,,,,,,,elcqana+001@test.com,,,,,,,,,
1,ACRID2,elcqana+002@test.com,,,,,elcqana+002@test.com,elcqana+002@test.com,,,,,,,,,,,,,elcqana+002@test.com,,,,,,,,,
1,ACRID3,elcqana+003@test.com,,,,,elcqana+003@test.com,elcqana+003@test.com,,,,,,,,,,,,,elcqana+003@test.com,,,,,,,,,
1,ACRID4,elcqana+004@test.com,,,,,elcqana+004@test.com,elcqana+004@test.com,,,,,,,,,,,,,elcqana+004@test.com,,,,,,,,,
1,ACRID5,elcqana+005@test.com,,,,,elcqana+005@test.com,elcqana+005@test.com,,,,,,,,,,,,,elcqana+005@test.com,,,,,,,,,
1,ACRID6,elcqana+006@test.com,,,,,elcqana+006@test.com,elcqana+006@test.com,,,,,,,,,,,,,elcqana+006@test.com,,,,,,,,,
1,ACRID7,elcqana+007@test.com,,,,,elcqana+007@test.com,elcqana+007@test.com,,,,,,,,,,,,,elcqana+007@test.com,,,,,,,,,
1,ACRID8,elcqana+008@test.com,,,,,elcqana+008@test.com,elcqana+008@test.com,,,,,,,,,,,,,elcqana+008@test.com,,,,,,,,,
1,ACRID9,elcqana+009@test.com,,,,,elcqana+009@test.com,elcqana+009@test.com,,,,,,,,,,,,,elcqana+009@test.com,,,,,,,,,
1,ACRID10,elcqana+0010@test.com,,,,,elcqana+0010@test.com,elcqana+0010@test.com,,,,,,,,,,,,,elcqana+0010@test.com,,,,,,,,,
1,ACPHONE,3477703960,,,,,3477703960,3477703960,,,,,,,,,,,,,3477703960,,,,,,,,,
1,ACPHONE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,returnUserPassword,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@124
